chemical name,ACA_class,mol_weight,hydrophobicity,TPSA,complexity,volume,inh_Bac1,inh_Bac2,inh_Bac3,inh_Bac4,inh_Bac5,inh_Bac6,inh_Bac7,inh_Bac8,inh_Bac9,inh_Bac10,inh_Bac11,inh_Bac12,inh_Bac13,inh_Bac14,inh_Bac15,inh_Bac16,inh_Bac17,inh_Bac18,inh_Bac19,inh_Bac20,inh_Bac21,inh_Bac22,inh_Bac23,inh_Bac24,inh_Bac25,inh_Bac26,inh_Bac27,inh_Bac28,inh_Bac29,inh_Bac30,inh_Bac31,inh_Bac32,inh_Bac33,inh_Bac34,inh_Bac35,inh_Bac36,inh_Bac37,inh_Bac38,inh_Bac39,inh_Bac40
Cisapride,A03FA02,465.945463,3.4,86,581,351,0.476428853,1,0.831415532,0.403568073,0.904586229,0.335877595,0.04691184,0.108389812,1,0.972661106,1,1,1,1,0.990066168,0.695559763,1,1,1,0.994141988,0.939857676,0.884659581,0.495718887,0.516945768,1,0.54296612,0.692993447,0.708278679,0.763882801,0.708890651,0.242224619,0.059378199,0.44573714,1,1,0.964696307,0.908938731,0.927509553,1,0.864796441
Citalopram Hydrobromide,N06AB04 N06AB10,324.391943,3.2,36.3,466,263.2,0.31946334,0.862015093,1,0.710168015,1,0.50175312,0.854254389,0.343089637,1,0.98431611,1,1,0.831415532,1,1,1,0.854260443,0.492932835,1,1,0.779066005,0.973088393,1,1,0.976507746,0.983022858,0.703824573,0.889748342,0.889878639,1,1,0.956621917,1,1,1,0.884553506,1,1,1,0.838200822
Cladribine,L01BB04,285.68698,0.8,119,338,196.6,1,1,1,1,1,1,1,0.981672652,1,1,1,0.704613152,1,1,1,0.164262585,1,1,4.80E-07,0.023415161,1,1,0.052235231,1.73E-05,1,0.599532898,0.799094311,1,0.665265446,1,1,0.004324909,1,0.576853089,1,0.292396332,1,1,1,1
Clarithromycin,J01FA09,747.95336,3.2,183,1190,,5.51E-07,5.04E-06,5.85E-06,5.75E-06,5.04E-06,4.57E-05,6.90E-07,2.86E-06,4.93E-07,5.04E-06,5.04E-06,4.93E-07,7.50E-07,5.04E-06,0.691906527,6.45E-07,5.04E-06,3.02E-07,4.93E-07,5.04E-06,5.04E-06,5.24E-06,4.94E-05,9.19E-06,1.43E-05,0.000166057,5.04E-06,8.47E-07,5.04E-06,3.62E-07,4.93E-07,3.70E-05,1.78E-05,0.000141125,5.04E-06,5.04E-06,1.14E-06,5.51E-07,5.51E-07,5.04E-06
Clavulanate potassium salt,J01CR,199.16076,-1.2,87.1,324,141.9,0.026388981,1,1,1,1,1,1,1,1,1,1,0.96862416,0.020205731,1,1,1,1,1,1,0.179371351,0.171211153,1,1,1,1,1,0.147937451,1,0.000334219,1,1,0.167806331,1,0.6378877,0.008071607,0.626770803,1,1,1,1
Clebopride maleate,A03FA06,373.87646,3.2,67.6,450,285.9,0.693094085,0.958582063,0.625916475,1,0.293839519,1,0.292486847,0.249309722,1,0.796061553,1,0.869161073,1,1,0.806565338,0.364274811,1,1,1,1,1,1,0.922271753,0.552834319,1,0.611939339,0.374479711,0.677880244,1,1,0.894604357,0.437478117,1,0.641114897,1,0.693693952,1,0.647513085,1,1
Clemastine fumarate,D04AA14 R06AA04,343.89024,5,12.5,376,276,0.990406272,1,0.100774352,0.052166969,1,0.311326354,0.084156952,0.277477825,1,0.965812132,1,1,0.47000061,0.574682436,0.555268701,1,0.669306421,0.396764482,0.507864596,0.663090053,0.715474053,0.602923081,0.833309965,0.623971042,0.018509516,0.029182556,0.80383653,0.704010425,1,0.160368261,0.144518996,0.496298424,1,0.034248744,1,0.416402106,0.911578017,0.662206194,0.681705339,1
Clemizole hydrochloride,R06AX,325.8352,4,21.1,377,256,0.018675285,0.634102168,0.436532775,0.611932763,0.854922946,0.363189347,0.170608249,0.012478505,1,0.010014182,0.059295342,0.266193942,1.46E-06,0.049776452,0.189172244,5.04E-06,0.00034551,0.000110855,4.93E-07,5.04E-06,5.04E-06,0.796061553,0.564425277,0.214908933,1.11E-05,0.000166388,0.014848844,0.001957133,0.556574093,0.103510742,0.441326181,0.143385279,1.80E-05,0.000142009,5.04E-06,1.36E-05,0.000273281,0.756680245,0.122585361,0.676749558
Clenbuterol hydrochloride,R03AC14 R03CC13,277.19012,2.2,58.3,233,204.6,0.874770679,0.842373258,1,1,0.461275526,0.664929835,0.836761222,1,0.550050774,0.559868447,0.486534462,1,0.038183609,0.908042593,0.814309111,0.771221241,0.851939023,1,0.608273314,1,0.670629595,0.686285635,1,1,1,0.878744516,1,1,0.803663795,1,1,1,0.855688376,1,0.556808852,0.867479639,0.789272283,0.939401643,0.928822681,0.442739639
Clidinium bromide,A03CA02,352.44674,3.3,46.5,482,275.8,1,1,1,1,1,1,1,1,1,1,0.88668016,1,0.819239986,1,1,1,0.653522622,0.982598306,1,0.818156161,1,1,1,1,1,1,1,1,0.986136621,1,1,1,0.78168634,1,1,1,0.690265072,1,1,1
Clinafloxacin,J01MA,365.786583,0.4,86.9,626,262,0.877064027,5.55E-06,5.86E-06,6.13E-06,5.04E-06,1.05E-05,6.45E-07,2.12E-06,5.04E-06,5.04E-06,7.07E-06,5.04E-06,7.72E-07,5.04E-06,5.06E-06,1.28E-06,5.04E-06,7.64E-07,2.74E-07,5.04E-06,1.23E-05,6.58E-06,5.20E-06,4.93E-07,7.06E-06,0.000935714,5.04E-06,2.17E-06,5.04E-06,2.73E-07,5.04E-06,3.56E-05,1.69E-05,0.000468263,1.96E-05,5.04E-06,0.000150969,5.71E-07,5.51E-07,5.04E-06
Clindamycin hydrochloride,D10AF01 J01FF01 G01AA10,424.98302,2.2,128,502,,9.04E-07,5.04E-06,6.23E-06,5.93E-06,5.04E-06,9.99E-06,6.54E-07,1.99E-06,6.65E-07,5.04E-06,5.04E-06,4.93E-07,7.48E-07,1.27E-05,0.000619008,5.51E-07,8.88E-06,3.73E-07,2.73E-07,8.78E-06,5.86E-06,5.22E-06,0.267255762,0.000619485,6.16E-06,0.000355776,5.04E-06,6.45E-07,5.04E-06,5.51E-07,5.04E-06,3.47E-05,3.97E-05,0.000131781,9.05E-06,6.72E-05,6.54E-07,5.51E-07,5.77E-07,5.04E-06
Clioquinol,P01AA02 D08AH30 D09AA10 G01AC02 S02AA05,305.49957,3.5,33.1,193,158.9,0.591892301,6.51E-06,2.23E-05,8.98E-06,5.04E-06,4.06E-05,5.04E-06,2.00E-06,1.60E-05,1,1,0.501174747,7.62E-07,6.36E-06,0.000247101,5.51E-07,0.000213422,5.92E-07,0.109269537,0.00017265,5.85E-06,0.006477672,0.021973107,0.400986125,2.66E-05,0.000163962,1.14E-05,0.013705702,5.04E-06,0.018698957,1.08E-06,5.63E-05,0.000964707,0.000178834,5.04E-06,5.50E-06,1.98E-05,0.249017102,0.010106439,5.04E-06
Clobetasol propionate,D07AD01,466.969983,3.8,80.7,929,,1,1,0.84868363,0.35003337,1,1,0.81814032,0.670801185,1,1,1,1,1,1,1,1,1,1,1,1,0.757565914,1,1,1,1,1,1,0.938347389,1,1,0.215663839,0.530087847,1,0.979442055,1,1,1,0.779423559,1,1
Clobutinol hydrochloride,R05DB03,255.78358,3.2,23.5,226,206.1,0.577006795,0.577830287,1,1,0.970001549,0.964579533,1,1,0.991392826,0.561620746,0.590084583,1,0.784472143,0.836333888,0.980137443,1,1,0.890150162,0.690265072,1,0.923709593,0.484900873,1,1,1,0.710861956,1,1,0.87088666,1,1,1,1,1,1,1,0.962181756,1,0.483561111,0.635459505
Clocortolone pivalate,D07AB21,495.023143,4.5,80.7,982,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.952913962,1,1,1,1,1,1,1,1,1,1,0.340965466,1,0.764244936,1,1,1,0.492932835,1,1,1,1,1,1
Clodronate,M05BA02,244.892384,-2.1,115,211,137.2,1,0.243243504,0.991149352,0.818112093,0.546195267,0.974257689,0.997454922,1,0.73453915,0.280806226,0.330712274,1,0.200550741,0.992183977,0.279234284,0.7499571,0.706080973,0.210068865,0.208510761,1,0.370166979,0.229148928,0.762024579,0.921526866,0.480425003,1,1,0.857345623,0.37798819,1,0.868421603,1,0.464818501,1,1,1,0.664008467,0.727441751,0.896417861,0.27098689
Clofazimine,J04BA01,473.39638,7.1,40,829,359.9,1,9.89E-05,0.001585698,5.78E-05,0.002099054,0.000958761,0.005268297,0.006634684,0.010668104,0.421122281,0.275881931,1,1.15E-05,0.997454922,5.19E-06,5.51E-07,8.58E-06,0.051698005,3.32E-07,0.002866397,6.46E-06,0.000207238,1,0.909332787,6.45E-05,0.003261408,0.875078908,0.001721254,0.001074754,0.045407128,0.041618683,0.017490585,5.44E-05,0.005828529,1.64E-05,0.003813771,9.61E-06,0.105817907,0.004620385,0.065065694
Clofibrate,C10AB01,242.6987,3.3,35.5,232,185.1,1,1,1,1,1,0.852305725,1,1,1,1,1,1,1,0.47582419,1,1,1,0.86301396,1,1,1,1,1,1,1,1,1,1,1,0.484642359,1,1,1,0.611155177,0.919712457,1,1,1,1,1
Clofibric acid,-,214.64554,2.6,46.5,207,158.8,0.745053879,1,0.956175083,0.748379965,1,1,0.818596986,1,1,0.993345851,0.964579533,0.695243809,1,1,0.889878639,1,1,0.445589017,1,1,0.832307499,1,1,0.996210354,0.278234578,1,1,0.368929729,1,1,1,1,0.98296616,1,1,0.936248501,1,1,0.985481858,1
Clofilium tosylate,C01BG,338.97818,7.2,0,267,290,1,0.82739152,0.526451456,0.153683445,0.918890807,0.336816877,0.197030822,0.357120377,1,1,0.93518314,0.031474637,0.929667538,1,0.049568161,1,1,0.149370128,0.822770352,0.933960085,0.992429412,0.0493324,0.813410953,1,0.00386463,0.000200168,0.084770322,0.370578248,1,0.068462195,0.592652325,0.040041804,0.000254099,0.004885272,1,0.189367379,1,1,1,0.153863929
"Clomiphene citrate (Z,E)",G03GB02,405.95962,7.2,12.5,481,330.2,0.727860346,0.742820576,0.00888111,0.054941646,0.505641447,0.008333416,0.202917952,0.018926489,1,0.462615627,0.034208058,0.467182659,0.003454674,0.181665967,0.021102585,0.034837851,0.836333183,0.01336276,0.002315632,0.003489629,0.054371133,0.704624731,1,0.885646345,0.000409922,0.001929889,0.485650947,0.0470186,0.345028062,0.008757232,0.014455965,0.037222775,0.000281831,0.000236766,0.950272996,0.000133859,0.097052151,0.176407328,0.009110665,1
Clomipramine hydrochloride,N06AA04,314.85232,5.2,6.5,346,251,0.226148793,0.349928785,0.147941853,0.078793758,0.506926277,0.040076804,0.062844279,0.013396811,1,0.600298063,0.150720909,1,0.545665306,0.446815484,0.718548833,0.885819841,0.958582063,0.948387205,0.335476828,0.151188132,0.226418002,1,0.663781141,0.471233044,0.05074218,0.01208751,0.788850724,0.990216375,0.867252669,0.155690033,0.077111099,0.000642265,0.786710161,0.07274987,0.85354667,0.138286746,1,0.66873072,0.485407021,0.782833535
Clonidine hydrochloride,C02AC01 N02CX02 S01EA04,230.09386,1.6,36.4,222,160.5,0.97977037,1,1,1,1,1,1,0.795324652,0.99059792,1,1,0.885841631,1,1,1,1,1,1,0.767537883,0.89889478,1,1,0.500935538,0.722753468,1,1,1,1,1,1,1,1,1,0.980097709,0.708170463,1,1,1,0.363609258,1
Clonixin Lysinate,M01AG,262.69164,3.8,62.2,301,195.1,1,0.55501143,0.602850263,0.513479385,0.990216375,0.064215571,0.245486745,0.726486931,0.799695735,0.872999283,0.775762475,0.823484291,1,1,1,0.952465781,1,1,1,0.815174682,0.246408198,1,1,0.313482217,1,1,0.527859791,0.615218853,0.172948333,0.725891083,0.070616907,0.251815246,1,0.976189023,0.441273499,0.354937551,1,0.995394594,0.189912986,1
Clopamide,C03BA03,345.8449,2.3,101,498,249.8,0.316410255,0.488828041,1,1,0.387618183,0.955799482,1,1,0.355453501,0.172527194,0.020429552,1,0.187415685,0.478745905,0.272017177,0.781935426,0.565259814,0.674674951,0.33902082,1,0.673668158,0.534456733,1,1,0.569537887,1,1,0.815327264,0.287251719,1,0.98477141,1,0.149272756,1,0.276926347,1,0.823949487,0.800380381,0.37816142,0.09479341
Cloperastine hydrochloride,R05DB21,329.86366,4.8,12.5,318,263.4,0.446919677,1,0.406649051,0.179492706,1,0.578110182,0.028316256,0.019328487,0.598756288,1,1,0.320935973,0.950750728,0.478738245,1,1,0.578707036,0.627760551,0.833531479,0.989402849,0.978411171,1,1,1,0.051420786,0.392626666,1,1,1,0.187791254,0.814973319,0.384089394,1,0.50874742,1,0.799042828,1,1,0.766942058,1
Clorgyline hydrochloride,C02KC,272.1703,4.2,12.5,263,206.9,0.079577968,0.902950768,1,0.985653339,0.209590821,0.287012564,0.881743377,0.905687343,0.910997911,0.641114897,0.14241357,1,0.084156952,0.695935841,0.438766932,0.731913122,0.533974456,0.909447355,0.354934985,0.684626227,0.800794375,0.32804301,0.949120917,0.959763838,0.297546647,0.563051332,0.581864429,0.779124647,0.521841685,1,0.94978999,0.801151084,1,1,0.389346325,0.843278861,0.47000061,0.442105525,0.605955194,0.253615337
Clorsulon,QP02BX QP51AG,380.65582,1.2,163,604,233.3,1,0.932754609,0.642179401,0.568209435,1,1,1,0.240801774,0.391103657,1,1,0.244738263,1,1,0.996227633,0.68945567,0.976413031,1,1,1,1,1,1,0.542496009,1,1,1,0.891517811,0.958902271,1,1,1,1,1,1,0.991711508,0.989816394,0.931803583,1,1
Closantel,QP52AG09,663.0737,7.2,73.1,652,363.2,0.91745716,5.04E-06,5.85E-06,7.09E-06,5.04E-06,1.09E-05,6.45E-07,1.95E-06,6.38E-07,5.04E-06,5.04E-06,0.005332785,1.72E-06,2.64E-05,5.04E-06,5.51E-07,8.91E-06,3.14E-06,2.73E-07,5.04E-06,5.04E-06,1.07E-05,0.053859552,0.248561908,1.95E-05,0.000271581,5.04E-06,5.51E-07,5.04E-06,2.73E-07,4.93E-07,3.44E-05,0.134581911,0.000179188,1.30E-05,1.77E-05,6.19E-07,5.51E-07,1.66E-06,5.04E-06
Clotrimazole,D01AC01 A01AB18 G01AF02,344.83678,5,17.8,396,265.5,1,0.001339048,2.73E-05,0.000187916,0.007729025,0.000758779,5.04E-06,5.61E-06,0.025422001,9.15E-05,0.001890094,0.404079368,1.56E-06,3.83E-05,0.129375307,5.16E-06,4.21E-05,0.000100937,2.74E-07,5.04E-06,5.04E-06,0.063274075,0.681723345,0.439892586,6.13E-06,0.000202747,0.962819074,0.058002816,0.117813452,0.001800915,9.64E-06,0.005092649,0.002911093,0.000635361,5.04E-06,5.82E-06,3.25E-05,0.343596153,0.006108494,0.380997421
Cloxacillin sodium salt,J01CF02,434.87338,3.1,141,716,312.8,5.70E-05,0.001689365,0.379741262,0.933485662,0.032523169,0.875913201,0.000146112,0.000134609,0.024474151,5.04E-06,2.45E-05,1,3.28E-05,3.08E-05,0.340114847,5.77E-07,0.16251641,4.93E-07,3.20E-07,8.73E-06,5.46E-06,0.026103116,0.86590771,0.882220975,1.11E-05,0.000982525,0.000308778,1.91E-05,9.95E-06,0.462078503,0.003097339,8.09E-05,5.44E-05,0.000508555,1.62E-05,5.04E-06,1.86E-06,5.51E-07,5.51E-07,1
Clozapine,N05AH02,326.82326,3.2,30.9,584,247.7,0.035527183,0.929343608,1,1,0.532459945,0.884659581,0.989816394,1,1,1,1,0.666115589,1,1,0.635459505,0.934084562,1,1,1,1,1,1,0.892217361,0.695935841,1,0.378194682,0.962819074,1,1,1,0.253373788,0.620223473,0.745740375,1,1,1,1,0.747456891,1,1
Colchicine,M04AC01,399.437,1,83.1,740,305.1,0.957591042,0.060672217,1,1,0.583970341,0.598400063,0.865425308,0.491227052,0.20226127,0.24999323,0.360183163,0.487962837,0.210016321,0.725736333,0.574508069,0.902950768,0.312995465,0.356677573,0.014991033,1,0.627985304,0.548684918,0.974257689,0.89912199,0.193608221,1,1,1,0.455098988,0.928339812,1,1,0.095813654,1,0.857152676,0.763827706,0.299259946,1,1,0.233894845
Colistin sulfate,J01XB01 A07AA10,1169.4605,-2.8,491,2070,,7.60E-07,1.68E-05,0.041413479,0.128016927,0.001083172,0.006561372,0.91472315,0.009344181,1,1,0.0132847,4.93E-07,8.67E-05,0.221676247,1,1,1,1,0.646613598,0.00343082,0.004285355,0.000483527,5.15E-06,4.93E-07,0.003395309,0.002922821,5.04E-06,1,1,0.173443183,4.93E-07,0.002523703,0.000142269,0.001187417,1,0.194833817,0.000244933,1,0.163255653,6.19E-06
Corticosterone,-,346.4605,1.9,74.6,638,267.8,1,0.813836246,1,1,0.27188586,1,1,1,0.524526529,0.508694249,0.768686523,1,0.545003637,1,0.699866874,1,0.78668042,0.819260347,0.737336187,0.777673702,0.995535445,0.933094297,0.952585774,1,1,0.763485208,0.822679215,0.927433647,0.673404131,1,1,0.831579858,0.933621727,0.972661106,0.893594844,1,1,1,0.679336388,0.784495829
Cortisol acetate,A01AC03 A07EA02 C05AA01 D07AA02 H02AB09 S01CB03,404.49658,2.2,101,786,,1,1,1,1,1,1,1,0.886295911,0.949410616,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.430007839,1,1,1,1,1,1,1,1,0.758270716,1,1,1,1,1
Cortisone,H02AB10 S01BA03,360.44402,1.5,91.7,724,274.5,1,0.4734613,1,0.8717132,0.721434724,0.978411171,1,1,0.714824232,0.111140504,0.508694249,1,0.891222005,0.814065111,0.756183156,1,0.914775871,0.288330279,0.589442692,1,0.704182044,0.759944964,0.665265446,1,0.846772954,0.869773457,0.7740551,1,0.868487912,0.624580662,1,1,0.681562671,1,0.618612206,1,1,0.634450428,0.96753736,0.402031174
Cromolyn disodium salt,A07EB01 D11AH03 R01AC01 R03BC01 S01GX01,466.35066,3.2,172,824,335.8,1,1,1,1,1,1,1,1,1,1,0.964576326,0.840611955,1,0.445326546,1,1,0.961753098,1,1,0.676907532,1,1,1,1,1,1,1,1,1,1,1,0.906522994,1,0.921361888,0.540086469,1,1,1,1,1
Crotamiton,QP53AX04,203.28018,2.8,20.3,235,173.8,1,1,1,1,1,1,1,1,0.558913241,1,0.58691206,0.490785225,1,1,1,1,1,1,1,1,1,1,1,1,1,0.904495926,1,0.932974129,1,1,1,0.69854413,1,1,1,0.827268198,1,1,0.997056457,1
Cyanocobalamin,B03BA01,1356.373117,,473,3220,,1,0.603982519,1,1,1,0.326815276,1,1,0.36922155,0.191218494,0.530444443,1,0.466596951,0.514199407,0.953212186,0.947904773,0.92263788,0.780018002,0.32880908,1,0.804826477,1,0.501744164,1,0.775273469,1,1,1,1,0.789835232,1,1,0.283765265,1,0.77561549,1,1,1,1,0.495657167
Cyclizine hydrochloride,R06AE03,266.38068,3.6,6.5,253,220.6,0.524838195,0.904586229,0.734185019,1,0.778271129,0.877304761,0.948090573,0.196549622,0.940494967,1,0.943567284,1,1,1,1,1,1,0.982146309,1,0.826092617,1,1,0.703543342,0.641747696,0.952465781,0.760149806,0.746338543,1,1,1,1,1,1,1,0.290630763,0.763323584,1,0.867252669,1,1
Cyclobenzaprine hydrochloride,M03BX08,275.38744,5.2,3.2,365,232.7,0.001347342,0.080396828,0.488942573,0.029899024,0.118261166,0.056079189,0.004347253,0.00597968,0.790284496,0.038059398,0.101353698,1,0.091787779,0.827579919,0.133708647,0.403953436,0.73453915,0.542306708,0.0171383,0.835254647,0.258175162,0.180635667,0.474476608,0.614768942,0.036371892,0.140198395,0.917497436,1,0.135223747,0.266489658,0.341629723,0.213622882,0.938668332,1,0.459854601,1,0.407628969,0.90872136,0.849681116,0.008100327
Cycloheximide,-,281.34742,0.5,83.5,404,218.4,1,1,0.666134989,0.657063637,1,1,0.502042445,0.907876742,1,1,1,0.590249224,1,1,1,1,0.883029564,0.83020089,1,1,1,1,0.476404926,0.180336237,0.984264698,1,0.288411462,1,1,0.824012522,0.670330561,1,1,1,0.227564772,0.73986078,1,0.577837788,0.191489221,1
Cyclopenthiazide,C03AA07,379.88272,1.3,135,637,257.2,0.510751661,0.507876911,0.699829256,0.431159597,0.616980548,0.026684999,0.980203948,1,0.002922821,0.30845681,0.402709466,1,0.502042445,0.473339876,0.865282844,0.963313054,0.594747165,0.952881032,0.678462483,1,0.516043248,0.747433105,1,0.966848432,0.679806689,0.990066168,1,0.9486718,0.579477905,1,1,1,0.680838428,0.972551309,0.047890431,1,1,1,0.953212186,0.309165748
Cyclopentolate hydrochloride,S01FA04,291.3853,2.7,49.8,331,235.6,0.910584376,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.712862265,0.597655148,1,1,1,1,1,0.825176224,1,1,1,1,1
Cyclophosphamide,L01AA01,261.085962,0.6,41.6,212,177.6,1,1,1,0.999135189,1,0.937919492,0.886143064,0.834083333,1,1,1,0.650268947,1,0.80679113,1,1,1,1,1,0.466954704,1,0.985481858,0.750248603,0.783147707,1,1,0.923327017,0.54296612,0.825350948,1,1,0.130878537,1,0.296822452,1,0.5576272,0.420851456,1,1,1
Cyclosporin A,L04AD01 S01XA18,1202.61124,7.5,279,2330,,0.834786802,1,0.91282922,1,0.361835098,1,1,0.847891652,0.341057594,0.143030844,0.003650878,1,0.004008817,1,0.61055297,3.26E-05,1,1,0.048778451,0.430258489,0.1043806,1,1,0.613036337,1,0.023800101,1,0.353127413,0.354746601,0.495962025,1,0.403702437,4.40E-05,0.016055775,1,1,0.878332776,0.792288336,0.316731898,0.00310105
Cyproheptadine hydrochloride,R06AX02,287.39814,4.7,3.2,423,235.4,0.064680993,0.607123357,0.760615364,0.668095698,0.673404131,0.544023124,0.001175749,0.037086567,1,0.932729303,0.416453251,1,0.63705029,0.656314389,0.091849491,1,0.516973745,0.506985997,0.080396197,0.590249224,0.625833161,0.117750623,1,1,0.070682447,0.119943149,1,1,0.196577934,0.663090053,0.394120597,0.615416329,1,0.948739443,1,0.996227633,0.974906885,1,0.904810859,0.021614343
Cyproterone acetate,G03HA01,416.93766,3.6,60.4,903,,1,0.918799579,0.710861956,0.886999978,1,0.577185709,1,0.321720641,1,1,1,1,1,1,1,1,1,1,1,0.276009066,1,1,0.829935185,0.897610637,1,1,0.745234202,0.563562839,1,0.158223061,0.742202057,0.124159524,1,0.331148785,1,0.366763715,1,0.870505563,0.793117804,1
Cytarabine,L01BC01,243.21662,-2.1,129,383,170.4,0.419411786,1,0.750112925,0.994884356,1,1,0.999294318,1,1,0.453888049,0.867937654,1,0.920864523,1,0.921097898,1,0.387654047,0.49557373,1,1,1,1,1,1,1,1,0.892217361,0.896803748,1,1,1,1,0.990555627,1,1,0.196488681,0.400617713,1,1,1
Dacarbazine,L01AX04,182.1832,-0.3,95.4,302,137.5,1,0.970445462,1,0.639026863,0.927737555,0.46143594,0.96753736,0.91282922,1,0.82420742,0.551716569,0.821610739,0.98140115,0.264103693,1,0.653177399,0.000695859,1,0.917040435,0.055619029,1,0.6969813,1,1,0.581424494,0.623548273,1,1,0.971175494,1,1,0.627684562,0.345385367,0.439629209,0.500486169,0.883315531,1,1,0.267828238,0.927509553
Danazol,G03XA01,337.45528,3.8,46.3,677,,0.363600104,0.976686472,0.948407258,0.323707012,0.336412722,0.803663795,0.479513506,0.947904773,0.376671724,0.279282627,0.268107712,0.867803663,0.307556294,0.617283838,0.116222747,0.638381539,0.501129401,0.735250407,0.521499014,0.744668613,0.18498527,0.351544829,1,1,0.555897897,0.98162393,0.820110289,0.938347389,0.428176007,0.308222479,0.234474665,0.737708754,0.225365966,0.777325026,0.619600566,0.380997421,1,0.616665097,0.656575487,0.673117574
Dantrolene sodium salt,M03CA01,313.24506,2.7,127,536,230.8,1,1,1,0.52579868,0.062629878,0.092623212,0.864946472,1,1,1,1,1,0.663098759,1,0.640964799,1,0.987791994,0.957552925,1,1,0.688527215,0.768794022,1,1,0.840856401,0.349370125,1,0.714060593,0.002634804,1,1,0.896597986,0.054660888,0.954592761,0.024264205,1,0.970445462,1,1,1
Dapsone,D10AX05 J04BA02,248.30088,1,94.6,306,186.3,0.476910979,0.721011233,1,0.903705197,0.895511629,1,1,1,1,0.712855317,0.331070018,0.567943591,0.58120065,0.721778853,0.83594265,1,0.837035289,1,0.936138518,0.610109766,0.62577281,0.594283248,0.437690059,1,0.253194787,1,1,0.965694733,0.618472205,0.976020446,1,1,0.820238075,0.809969581,1,1,0.917277375,1,0.646539127,0.859545687
Darifenacin hydrobromide,G04BD10,426.55,4.6,55.6,607,339.3,1,1,1,1,1,1,1,0.711335812,1,1,1,1,1,1,1,1,1,1,1,0.177855236,1,0.917277375,1,1,1,0.001015196,1,0.819136418,1,1,1,0.108345306,1,1,0.984722979,1,1,1,1,1
Daunorubicin hydrochloride,L01DB02,527.51986,1.8,186,960,,1,0.001045178,0.216299882,0.040717056,5.85E-06,0.00323688,0.018385738,0.003081374,0.003770771,5.04E-06,5.04E-06,1,7.64E-07,6.71E-06,0.001440752,0.000283455,5.04E-06,0.002397008,4.93E-07,3.10E-05,6.92E-06,1.30E-05,0.852305725,1,0.005040288,0.001199846,0.053393209,5.04E-06,5.04E-06,3.22E-07,2.81E-05,0.00773707,1.55E-05,0.000422533,1.53E-05,0.000895076,0.199910085,6.79E-07,5.51E-07,1
D-cycloserine,J04AB01,102.09194,-1.5,64.4,92,74.2,1,1,0.255331199,0.222578497,1,0.614768942,0.835010351,0.197145512,1,1,1,0.685678998,1,1,1,0.803974035,1,1,1,0.303962425,1,1,0.895511629,0.197320702,1,1,0.277850471,1,1,1,1,0.561838258,1,0.252413342,1,0.304946406,1,0.95380714,0.250911628,1
Debrisoquin sulfate,C02CC04,176.23826,0.7,54.7,202,138.1,1,0.700112823,0.89392445,1,1,1,1,0.584686828,1,0.849629956,0.876772739,0.993682471,0.637257824,1,0.106586121,0.119781704,0.810828027,0.463277609,0.904474638,1,0.853395025,0.665249754,1,1,0.86201848,0.992657495,1,1,0.795235594,1,1,1,0.320909233,0.348298865,1,0.935789579,0.718550747,1,1,0.860675147
Decamethonium bromide,M03AB,258.48632,3.9,0,164,236.4,1,1,1,1,1,1,1,0.859678983,1,1,1,0.867952719,1,0.918417293,1,1,1,1,1,0.437425163,1,0.95503544,1,1,1,0.936397031,1,0.763214757,1,1,1,1,1,1,0.862015093,1,1,1,1,1
Deferoxamine mesylate,V03AC01,560.68402,-2.1,206,739,,1,1,1,0.563594131,1,1,1,0.90652815,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.527689516,1,1,1,1,1,1,1,1,1,1,0.818305502,1
Deflazacort,H02AB13,441.51674,2,102,996,,1,0.935863954,1,1,0.725634223,1,1,1,0.907486554,0.882818445,0.70783804,0.864946472,0.548587808,0.652111941,1,1,1,1,1,1,1,0.830834227,1,1,1,1,1,1,0.715610294,1,1,0.847459969,0.949120917,0.783221432,0.269791111,1,1,1,1,0.9848062
Dehydrocholic acid,-,401.51582,3.2,91.3,751,,0.755336284,0.674443215,1,1,0.904586229,0.915845545,1,1,0.370635555,0.664929835,0.336627484,0.56801115,0.815044684,0.819136418,0.334862345,0.710169743,0.728224404,0.657895683,0.980137443,1,0.921609098,1,1,1,1,1,0.747592402,0.704624731,0.770708706,0.652907824,1,1,0.756019919,0.979470087,1,1,0.51441953,0.352665097,1,0.577312696
Dehydroisoandosterone 3-acetate,A14AA07 G03EA03,330.4611,3.8,43.4,606,262.4,0.842111807,0.196668404,1,0.287738783,0.111834228,0.4734613,0.160464452,0.219902397,0.382520447,0.386358786,0.503652556,1,0.178883454,0.692820577,0.417931015,1,0.376578794,0.688374953,0.204192275,1,0.326416651,1,0.190399174,0.307997602,1,1,0.598910603,0.967453662,0.32880908,0.497219706,0.161654407,0.648791825,0.660189836,0.521640986,0.058342477,1,0.249017102,0.697691571,0.318903506,0.307972522
